,tokens,labels
837,"['Summer', 'has', 'come', 'and', 'past', ',', 'the', 'innocent', 'can', 'never', 'last', 'Wake', 'me', 'up', 'when', 'September', 'ends']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
359,"['Gotta', 'dress', 'up', 'for', 'london', 'fashion', 'week', 'and', 'party', 'in', 'style']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2229,"['i', 'may', 'have', 'failed', ',', 'but', 'yeah', 'i', 'loved', 'you', 'from', 'the', 'start', 'i', 'should', 'continue', 'editing', 'and', 'stop', 'quoting']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1409,"['Any', '1', 'know', 'when', 'season', '3', 'True', 'Blood', 'is', 'back', 'on', 'the', 'telly']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1153,"['too', 'lazy', 'to', 'go', 'to', 'school', 'today', 'oh', 'well', ',', 'i', 'have', 'no', 'choice']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2284,"['I', 'know', 'u', 'like', 'that', 'turn', 'you', 'into', 'a', 'star', 'I', 'got', 'it', 'like', 'that', 'baby', 'dont', 'fight', 'it', 'cus', 'when', 'I', 'miss', 'your', 'call', 'I', 'hit', 'u', 'right', 'back']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1063,"['Last', 'film', 'I', 'can', 'watch', 'on', 'a', 'decent', 'telly', 'for', 'a', 'while', 'tonight', 'KickAss', 'is', 'very', 'tempting', 'indeed']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1046,"['I', 'dont', 'know', ',', 'how', 'to', 'be', 'fine', 'when', 'im', 'not', 'And', 'i', 'dont', 'know', 'how', 'to', 'make', 'a', 'feelin', 'stop']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
695,"['Can', 'have', 'any', 'girl', 'I', 'choose', 'but', 'as', 'time', 'goes', 'by', 'baby', 'im', 'goin', 'home', 'wit', 'u']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1097,"['Part', '2', 'to', 'my', 'day', 'is', 'about', 'to', 'begin', 'hair', 'stylist', 'flow']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1785,"['td', 'bem', 'que', 'as', 'meninas', 'do', 'outro', 'time', 'eram', 'mt', 'brutas', 'e', 'cavalas', ',', 'maais', 'foi', 'bom', ',', 'porq', 'ganhamos']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
113,"['You', 'remeber', 'we', 'were', 'sitting', 'there', 'by', 'the', 'water', 'you', 'put', 'your', 'arm', 'around', 'me', 'for', 'the', 'first', 'time', 'you', 'made', 'a', 'rebel', 'careless', 'mans', 'careful', 'daughter']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1329,"['Ah', 'a', 'Friday', 'night', 'free', 'Avin', 'a', 'drink', 'with', 'friends', 'Lent', 'the', 'T4', 'to', 'friend', 'to', 'camp', 'in', 'Off', 'camping', 'to', 'Robinhoods', 'bay', 'In', 'Jasmin', 'Good', 'weekend']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1626,"['It', 's', 'about', 'that', 'time']","[0, 0, 0, 0, 0]"
2133,"['Whats', 'the', 'plan', 'tonight']","[0, 0, 0, 0]"
1304,"['If', 'my', 'calculation', 'is', 'right', ',', 'Christmas', 'is', 'only', '98', 'days', 'away']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1203,"['ive', 'had', 'a', 'wicked', 'week']","[0, 0, 0, 0, 0]"
11,"['When', 'I', 'said', 'good', 'night', ',', 'I', 'ended', 'up', 'watching', 'movies', 'on', 'my', 'laptop', 'Yep', 'No', 'sleep', 'again', 'Time', 'to', 'take', 'a', 'bath', 'now', 'It', 's', 'gonna', 'be', 'a', 'looong', 'day']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
322,"['Finna', 'Chill', 'Tonite', 'Dont', 'Feel', 'Like', 'Doinq', 'Shxt', 'My', 'Mouth', 'Hurts']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1817,"['Bar', 'hopping', 'in', 'buckhead', 'tonight']","[0, 0, 0, 0, 0]"
1683,"['One', 'day', 'the', 'things', 'i', 'say', 'and', 'do', 'is', 'gonna', 'get', 'me', 'a', 'nice', 'slap']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2252,"['Ill', 'be', 'gone', 'till', 'november', ',', 'but', 'I', 'aint', 'even', 'trippin', 'cause', 'I', 'know', 'drizzy', 'gonna', 'kill', 'em']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
993,"['I', 'get', 'high', 'with', 'love', 'when', 'Im', 'helping', 'and', 'being', 'of', 'service', 'to', 'you', 'Thank', 'you', 'for', 'allowing']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1667,"['Man', 'i', 'been', 'eatin', 'fastfood', 'everyday', 'im', 'so', 'glad', 'my', 'mommy', 'cookin', 'today']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1593,"['I', 'distinctly', 'remember', 'someone', 'giving', 'me', 'chocolates', 'last', 'week', 'I', 'dont', 'recall', 'eating', 'a', 'single', 'piece', 'Theyre', 'nowhere', 'to', 'be', 'found', 'of', 'course']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,"['What', 'a', 'productive', 'day', 'Not']","[0, 0, 0, 0, 0]"
349,"['After', 'a', 'great', 'two', 'days', 'of', 'meetings', 'with', 'Houston', ',', 'Fes', 'is', 'back', 'in', 'Salt', 'Lake']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"['What', 'is', 'it', 'with', 'people', 'and', 'punctuality', 'I', 'used', 'to', 'be', 'that', 'guy', 'and', 'honestly', ',', 'it', 's', 'a', 'haze', 'now', 'Just', 'be', 'on', 'time', 'It', 's', 'not', 'like', 'its', 'a', 'surprise']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1948,"['Lederhosen', ',', 'lederhosen', ',', 'youre', 'so', 'delicious', ',', 'I', 'love', 'you', 'more', 'than', 'all', 'the', 'other', 'foreign', 'pants', 'that', 'I', 'need', 'to', 'borrow', 'for', 'a', 'single', 'day']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
604,"['An', 'entire', 'stack', 'of', 'papers', 'has', 'disappeared', 'I', 'think', 'that', 'is', 'a', 'sign', 'to', 'wrap', 'up', 'for', 'the', 'week']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
222,"['And', 'we', 'had', 'some', 'amazing', 'dessert', 'wines', 'too', 'First', 'time', 'Ive', 'tried', 'that', ',', 'but', 'now', 'a', 'convert', 'Will', 'have', 'to', 'add', 'wine', 'to', 'dessert', 'from', 'now', 'on', 'Yum']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
647,"['He', 'said', 'Rihanna', 'all', 'low', 'toned', 'and', 'shit', 'Prolly', 'the', 'first', 'time', 'he', 'said', 'her', 'names', 'in', 'AGES', 'LMFAOOOOO']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
886,"['Lindsay', 'Lohan', 'allegedly', 'failed', 'her', 'drug', 'test', 'So', 'not', 'fetch', 'Quick', ',', 'let', 's', 'all', 'put', 'on', 'our', 'shocked', 'faces', 'that', '23', 'days', 'of', 'rehab', 'didnt', 'work']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
701,"['It', 'sucks', 'when', 'you', 'waiting', 'for', 'the', 'bus', 'with', 'your', 'bike', ',', 'then', 'it', 'shows', 'up', 'with', 'two', 'bikes', 'already', 'on', 'it']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1751,"['Was', 'thinking', 'today', 'that', 'I', 'am', 'fortunate', 'o', 'know', 'so', 'many', 'incredible', 'people', 'in', 'this', 'world']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
660,"['Was', 'hard', 'work', 'going', 'to', 'the', 'gym', 'on', 'my', 'own', 'tonight', 'but', 'managed', 'a', '30', 'min', 'run', 'and', 'plenty', 'of', 'weights', 'Catching', 'up', 'on', 'ufc', 'now']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1745,"['Right', 'arm', 'Rousseff', ',', 'Erenice', 'War', ',', '51', 'years', ',', 'became', 'chief', 'minister', 'of', 'the', 'Civil', 'House', 'in', 'April', 'this', 'year']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2168,"['I', 'love', 'listening', 'to', 'lies', 'when', 'i', 'know', 'the', 'truth']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
300,"['the', 'tears', 'may', 'have', 'been', 'and', 'gone', ',', 'but', 'the', 'feeling', 'still', 'stay', 'the', 'same']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2120,"['My', 'mama', 'just', 'surprised', 'me', 'on', 'ring', 'day', 'Ahh', 'today', 'just', 'got', 'so', 'much', 'better']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1538,"['friday', 'night', 'missions', 'iguess']","[0, 0, 0, 0]"
324,"['Im', 'a', 'little', 'too', 'excited', 'to', 'be', 'a', 'social', 'media', 'goy', 'tomorrow']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1452,"['Internet', 'My', 'MOM', 'got', 'a', 'tattoo', 'today', 'Which', ',', 'if', 'one', 'knows', 'her', ',', 'is', 'so', 'out', 'of', 'character', 'I', 'find', 'it', 'awesome', 'Go', 'ma']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,"['Always', 'kinda', 'awkward', 'when', 'you', 'get', 'the', 'chat', 'group', 'wrong', 'in', 'WoW', 'Sometimes', 'you', 'dont', 'want', 'the', 'tank', 'to', 'know', 'youre', 'dissin', 'him', 'Oops']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1634,"['ThAnK', 'gOd', 'ItS', 'fRiDaY']","[0, 0, 0, 0]"
2078,"['looking', 'forward', 'to', 'a', 'weekend', 'resting', 'foot', 'oh', 'and', 'the', 'irish', 'on', 'sunday']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2250,"['Gotta', 'dress', 'up', 'for', 'london', 'fashion', 'week', 'and', 'party', 'in', 'style']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1748,"['The', 'Town', 'might', 'be', 'one', 'of', 'the', 'best', 'movies', 'I', 'have', 'seen', 'all', 'year', 'So', ',', 'so', 'good', 'And', 'do', 'nt', 'worry', 'Ben', ',', 'we', 'already', 'forgave', 'you', 'for', 'Gigli', 'Really']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
353,"['Tidyin', 'my', 'room', 'Need', 'to', 'do', 'my', 'hair', 'its', 'soo', 'nasty', 'when', 'its', 'naturally', 'curly']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
367,"['Over', 'My', 'Boyfriend', 'House', 'Tonite', 'We', 'Going', 'Do', 'The', 'Damn', 'Thing']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
161,"['Now', 'time', 'too', 'do', 'my', 'hair', 'New', 'look', 'on', 'deck']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2368,"['hmm', ',', 'I', 'always', 'get', 'a', 'bit', 'scared', 'when', 'I', 'update', 'my', 'Blackberry']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2333,"['Work', '3301130', 'come', 'home', 'shower', 'bed', 'up', 'early', 'for', 'buckboardday', 'parade', 'then', 'sanchez', 'family', 'reunion', 'then', 'betos', 'gbye', 'party', 'so', 'much', 'for', 'a', 'day', 'off']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2165,"['The', 'Metro', 'Sept', '26', 'Mannie', 'Fresh', 'and', 'Jermaine', 'Dupri', 'fa', 'da', 'after', 'party', ',', 'holla', 'at', 'me', 'fa', 'ur', 'tickets']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2320,"['Beginning', 'what', 'I', 'hope', 'will', 'be', 'a', 'long', 'and', 'wonderful', 'relationship', 'with', 'it', 's', 'always', 'sunny', 'Since', 'I', 'do', 'own', 'season', '1', 'and', '2', 'on', 'DVD', 'already']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
888,"['nightmare', 'before', 'christmas']","[0, 0, 0]"
1229,"['Safety', 'Day', 'tomorrow', 'at', 'North', 'Phoenix', 'ATA', 'Kids', 'SelfDefense', 'class', 'from', '121', 'pm', ',', 'Safety', 'Presentation', 'from', '12', ',', 'Adult', 'SelfDefense', 'from', '23']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1789,"['Oh', 'before', 'I', 'forget', 'good', 'luck', 'also', 'to', 'the', 'cherry', 'and', 'whites', 'against', 'London', 'Irish', 'Only', 'a', 'win', 'will', 'do', 'Gives', 'me', 'more', 'excuses', 'to', 'celebrate']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
299,"['2', 'years', '99', 'days', '3', 'hours', '36', 'minutes', 'and', '20', 'seconds', 'Until', 'Mayan', 'Doomsday', ',', 'DEC', '22', '2012', 'AD']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
576,"['So', 'much', 'work', 'yet', 'to', 'do', 'before', 'heading', 'to', 'Grand', 'Masquerade', 'next', 'week']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2156,"['The', 'Maccabees', 'are', 'the', 'love', 'of', 'my', 'life', 'one', 'day', 'i', 'will', 'be', 'married', 'to', 'all', 'of', 'them']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
866,"['Every', 'time', 'I', 'watch', 'Donnie', 'Hathaway', 's', 'Unsung', 'I', 'just', 'get', 'speechless', 'in', 'amazement', 'He', 'would', 'be', 'sooooo', 'proud', 'of', 'his', 'children', 'if', 'he', 'were', 'alive']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,"['right', 'Five', 'Star', 'Day', 'came', 'out', 'in', 'may', 'this', 'year', 'why', 'havent', 'ANY', 'trailers', 'come', 'out', 'here', 'in', 'Scotland', 'yet', 'ive', 'waited', 'about', 'a', 'year', 'for', 'this']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
326,"['Take', 'this', 'time', 'to', 'discover', 'the', 'treasures', 'within', 'you']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
808,"['to', 'all', 'my', 'girls', 'in', 'london', 'or', 'travelling', 'up', 'tomorrow', 'i', 'love', 'and', 'miss', 'you', 'wish', 'i', 'could', 'be', 'there', 'NEXT', 'YEAR', 'I', 'WILL']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1310,"['You', 'blink', 'when', 'you', 'breathe', 'and', 'you', 'breathe', 'when', 'you', 'lie', 'You', 'blink', 'when', 'you', 'lie']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2228,"['Wake', ',', 'Davidson', ',', 'Charlotte', 'and', 'NC', 'St', 'have', 'all', 'been', 'in', 'to', 'check', 'out', '2012', 'pg', 'Tyler', 'Lewis', 'since', 'contact', 'pd', 'began', 'UNC', 'will', 'be', 'there', 'next', 'week']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
673,"['Im', 'not', 'even', 'tired', 'but', 'i', 'have', 'to', 'go', 'to', 'sleep', 'or', 'i', 'will', 'be', 'like', 'a', 'zombie', 'at', 'work', 'tomorrow']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1124,"['I', 'HATE', 'MY', 'MOTHER', 'Where', 'is', 'Dee', 'when', 'I', 'need', 'him']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1363,"['Today', 'is', 'goin', 'to', 'slow', 'at', 'work', 'Cant', 'wait', 'to', 'get', 'this', 'weekend', 'started']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1047,"['I', 'dont', 'know', 'what', 'criteria', 'does', 'MTV', 'use', 'to', 'give', 'music', 'awards', 'these', 'days']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1989,"['chinese', 'food', 'stayin', 'in', 'for', 'tonight', 'but', 'goin', 'to', 'the', 'archery', 'range', 'either', 'tomorrow', 'or', 'sunday']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1403,"['is', 'there', 'actually', 'anything', 'on', 'UK', 'tv', 'tonight']","[0, 0, 0, 0, 0, 0, 0, 0]"
381,"['Ima', 'start', 'going', 'to', 'the', 'dr', 'once', 'a', 'month', 'so', 'I', 'get', 'my', 'moneys', 'worth']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2067,"['Someone', 'just', 'started', 'following', 'me', 'today', 'so', 'I', 'better', 'post', 'something', 'There']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1681,"['A', 'slow', 'yes', 'beats', 'a', 'fast', 'no', '7', 'days', 'a', 'week', 'dont', 'rush', 'people', 'when', 'dey', 'maken', 'choices', 'u', 'might', 'get', 'told', 'no', 'just', 'cuz', 'dey', 'want', 'u', '2', 'shut', 'up']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
493,"['Is', 'all', 'done', 'getting', 'things', 'set', 'up', 'for', 'the', 'Ultimate', 'Magic', 'playtest', 'that', 'starts', 'on', 'Monday', 'Ca', 'nt', 'wait', 'to', 'see', 'what', 'people', 'think']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"['cant', 'wait', 'to', 'see', 'my', 'beautiful', 'neice', 'nx', 'week', ',', 'gonna', 'spoil', 'her', 'rotton']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
608,"['Ha', 'Im', 'lucky', 'I', 'got', 'in', 'the', 'car', 'like', 'five', 'seconds', 'before', 'it', 'started', 'POURING', 'rain']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1178,"['Uhmm', 'Looks', 'like', 'Im', 'not', 'leaving', 'my', 'house', 'tonight']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
883,"['it', 's', 'that', 'time', 'of', 'year', 'when', 'dreams', 'of', 'glassy', 'waves', 'turn', 'to', 'fluffy', 'powder', 'neither', 'of', 'which', 'I', 'will', 'get', 'to', 'enjoy', 'because', 'I', 'have', 'a', 'real', 'job']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
361,"['Time', 'to', 'fire', 'up', 'the', 'grill', 'again', 'I', 'do', 'believe', 'it', 'will', 'be', 'chicken']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1920,"['going', 'to', 'the', 'mall', 'with', 'my', 'momma', ',', 'then', 'church', 'after', 'this', 'is', 'a', 'bigo', 'challenge', 'for', 'the', 'next', '3', 'days', 'encounter', 'here', 'I', 'come', 'lets', 'see', 'what', 'happens']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1936,"['For', 'women', 'the', 'best', 'aphrodisiacs', 'are', 'words', 'The', 'Gspot', 'is', 'in', 'the', 'ears', 'He', 'who', 'looks', 'for', 'it', 'below', 'there', 'is', 'wasting', 'his', 'time']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
664,"['inspired', 'yet', 'again', 'to', 'write', 'cant', 'wait', 'to', 'share', 'my', 'testimony', 'cant', 'wait', 'for', 'the', 'day', 'when', 'im', 'taken', 'underwater', 'brought', 'back', 'up', 'BORN', 'AGAIN']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1536,"['neck', 'hurts', 'and', 'no', 'time', 'to', 'schedule', 'acupuncture', 'and', 'massage']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1426,"['What', 'it', 'is', 'twiggas', 'it', 's', 'Friday', 'in', 'this', 'bissh', 'What', 's', 'yall', 'niggas', 'plans', 'Betta', 'be', 'at', 'Elements', 'tonight', 'BOGO', 'drinks', 'all', 'night', 'Nuff', 'Said']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
